date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:54	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-7303cb53e566dc17;gz%22	https://siteeseguro.tech/robots.txt		(from )
16:12:55	43908/43908	---M-Z	200	added ('OK')	text/html	etag:%22ab84-66cf8919-deac0b110f2a0695;gz%22	https://siteeseguro.tech/opinapay/	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/index.html	(from )
16:12:55	78150/78150	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213146-66cf8893-bc95b6c48c6e498e;gz%22	https://siteeseguro.tech/opinapay/js/script.js	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/js/script.js	(from https://siteeseguro.tech/opinapay/)
16:12:55	19072/19072	---M-Z	200	added ('OK')	text/css	etag:%224a80-66cf8893-48e3aec54e6028bb;gz%22	https://siteeseguro.tech/opinapay/css/styles.css	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/css/styles.css	(from https://siteeseguro.tech/opinapay/)
16:12:55	90257/90257	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216091-66cf8893-ef9820fe07ce838a;gz%22	https://siteeseguro.tech/opinapay/js/jquery-3.6.4.min.js	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/js/jquery-3.6.4.min.js	(from https://siteeseguro.tech/opinapay/)
16:12:55	1681/1681	---M-Z	200	added ('OK')	application/x-javascript	etag:%22691-66cf8893-e5c21149fc15d8c3;gz%22	https://siteeseguro.tech/opinapay/js/js.cookie.min.js	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/js/js.cookie.min.js	(from https://siteeseguro.tech/opinapay/)
16:12:56	170373/170373	---M--	200	added ('OK')	audio/mpeg	etag:%2229985-66cf8893-c23c255dc9495d08;;;%22	https://siteeseguro.tech/opinapay/media/dinheiro.mp3	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/media/dinheiro.mp3	(from https://siteeseguro.tech/opinapay/)
16:12:56	46288/46288	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:57%20GMT	https://siteeseguro.tech/opinapay/images/opinilogo.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/opinilogo.png	(from https://siteeseguro.tech/opinapay/)
16:12:56	15292/15292	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:57%20GMT	https://siteeseguro.tech/opinapay/images/caixa.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/caixa.png	(from https://siteeseguro.tech/opinapay/)
16:12:56	56313/56313	---M-Z	200	added ('OK')	text/html	etag:%22dbf9-66cf8893-ac1ef9ee59cdbe5d;gz%22	https://siteeseguro.tech/opinapay/transparent.html	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/transparent.html	(from https://siteeseguro.tech/opinapay/)
16:12:57	28623/28623	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:58%20GMT	https://siteeseguro.tech/opinapay/images/bancobrasil.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/bancobrasil.png	(from https://siteeseguro.tech/opinapay/)
16:12:57	120101/120101	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:58%20GMT	https://siteeseguro.tech/opinapay/images/apple.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/apple.png	(from https://siteeseguro.tech/opinapay/)
16:12:57	5261/5261	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:58%20GMT	https://siteeseguro.tech/opinapay/images/amazon.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/amazon.png	(from https://siteeseguro.tech/opinapay/)
16:12:57	5486/5486	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:58%20GMT	https://siteeseguro.tech/opinapay/images/ambev.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/ambev.png	(from https://siteeseguro.tech/opinapay/)
16:12:58	294293/294293	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:59%20GMT	https://siteeseguro.tech/opinapay/images/mcdonalds.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/mcdonalds.png	(from https://siteeseguro.tech/opinapay/)
16:12:58	42606/42606	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:59%20GMT	https://siteeseguro.tech/opinapay/images/burguerking.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/burguerking.png	(from https://siteeseguro.tech/opinapay/)
16:12:58	33542/33542	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:59%20GMT	https://siteeseguro.tech/opinapay/images/vivo.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/vivo.png	(from https://siteeseguro.tech/opinapay/)
16:12:58	91686/91686	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:59%20GMT	https://siteeseguro.tech/opinapay/images/claro.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/claro.png	(from https://siteeseguro.tech/opinapay/)
16:12:58	32355/32355	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:12:59%20GMT	https://siteeseguro.tech/opinapay/images/tim.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/tim.png	(from https://siteeseguro.tech/opinapay/)
16:12:59	71608/71608	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:13:00%20GMT	https://siteeseguro.tech/opinapay/images/cpf.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/cpf.png	(from https://siteeseguro.tech/opinapay/)
16:12:59	49514/49514	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Aug%202024%2019:13:00%20GMT	https://siteeseguro.tech/opinapay/images/telefone.png	C:/Meus%20Sites/opinapay_/siteeseguro.tech/opinapay/images/telefone.png	(from https://siteeseguro.tech/opinapay/)
